Step,FedDrift,Window,Oblivious,IFCA,CFL,Oracle,FedDCA,Adaptive-FedAvg
2,0.0169,0.00535,0.0041,0.0066,0.0077,0.0006,0.0122,0.0067
322,0.2878,0.1582,0.1464,0.17,0.1721,0.2716,0.2253,0.1525
642,0.3209,0.2295,0.2229,0.2361,0.2529,0.31,0.2915,0.2794
962,0.3441,0.2695,0.2674,0.2716,0.3024,0.3426,0.3429,0.3143
1282,0.3485,0.2919,0.281,0.3028,0.3156,0.3464,0.3493,0.3276
1602,0.31333148,0.2642758,0.266958609,0.282273265,0.304236939,0.339877398,0.33140258,0.299284013
1922,0.328309919,0.268871788,0.258224052,0.284176466,0.305436634,0.344553675,0.341137418,0.326516718
2242,0.334577396,0.281150352,0.2642758,0.306385445,0.330029516,0.346160829,0.344288464,0.316856077
2562,0.33558616,0.272247635,0.24052049,0.290145115,0.332610019,0.353189878,0.343221565,0.332270223
2882,0.339095854,0.275720085,0.2468381,0.325804507,0.320772841,0.356392899,0.346142741,0.330764617
3202,0.335445333,0.292024773,0.262065981,0.298863995,0.334547924,0.360053998,0.349701297,0.326837162
