Step,method1,method2,method3,method4,method5,method6,method7,method8,method9,method10,method11,method12,method13,method14,method15,method16,method17,method18
2,0.010883333,0.0067,0.0169,0.00535,0.0041,0.0066,0.0077,0.0077,0.0077,0.0087,0.0041,0.0122,0.0006,0.0006,0.0006,0.0122,0.0122,0.0122
6,0.023216667,0.0122,0.0344,0.0219,0.02,0.0238,0.0073,0.0073,0.0073,0.011966667,0.0104,0.0137,0.0145,0.0145,0.0145,0.0081,0.0081,0.0081
10,0.021616667,0.0063,0.0412,0.02465,0.0233,0.026,0.0237,0.0237,0.0237,0.011433333,0.0087,0.0155,0.0316,0.0316,0.0316,0.0148,0.0148,0.0148
14,0.034716667,0.0141,0.0537,0.0198,0.0124,0.0272,0.0311,0.0311,0.0311,0.009533333,0.006,0.0124,0.0297,0.0297,0.0297,0.0181,0.0181,0.0181
18,0.037883333,0.017,0.0573,0.03335,0.0316,0.0351,0.0355,0.0355,0.0355,0.009066667,0.008,0.011,0.034,0.034,0.034,0.0227,0.0227,0.0227
22,0.04415,0.0161,0.074,0.04,0.0373,0.0427,0.0334,0.0334,0.0334,0.010333333,0.0082,0.0117,0.0338,0.0338,0.0338,0.0344,0.0344,0.0344
26,0.047133333,0.0148,0.0826,0.0392,0.0355,0.0429,0.0358,0.0358,0.0358,0.0092,0.0069,0.0107,0.0407,0.0407,0.0407,0.0416,0.0416,0.0416
30,0.052233333,0.0173,0.0888,0.04095,0.037,0.0449,0.0451,0.0451,0.0451,0.0071,0.0047,0.0111,0.0498,0.0498,0.0498,0.0352,0.0352,0.0352
34,0.05004,0.0222,0.0906,0.04945,0.0475,0.0514,0.0517,0.0517,0.0517,0.010733333,0.0094,0.0121,0.0379,0.0379,0.0379,0.0442,0.0442,0.0442
38,0.05092,0.0244,0.0894,0.0441,0.0412,0.047,0.0497,0.0497,0.0497,0.010633333,0.0098,0.0112,0.0524,0.0524,0.0524,0.0346,0.0346,0.0346
42,0.05602,0.0201,0.1112,0.05015,0.0495,0.0508,0.047,0.047,0.047,0.008366667,0.0042,0.0106,0.0597,0.0597,0.0597,0.044,0.044,0.044
46,0.06024,0.0231,0.1147,0.0482,0.0465,0.0499,0.0588,0.0588,0.0588,0.004766667,0.0035,0.0055,0.0663,0.0663,0.0663,0.028,0.028,0.028
50,0.05462,0.0238,0.1012,0.0507,0.0495,0.0519,0.0519,0.0519,0.0519,0.0082,0.0066,0.0097,0.0653,0.0653,0.0653,0.0498,0.0498,0.0498
54,0.06268,0.0259,0.1151,0.0599,0.0574,0.0624,0.0564,0.0564,0.0564,0.011066667,0.011,0.0111,0.0757,0.0757,0.0757,0.0636,0.0636,0.0636
58,0.06374,0.0178,0.1221,0.0586,0.0543,0.0629,0.0488,0.0488,0.0488,0.009033333,0.0065,0.012,0.0761,0.0761,0.0761,0.0552,0.0552,0.0552
62,0.06522,0.0255,0.1188,0.06145,0.0556,0.0673,0.0663,0.0663,0.0663,0.013366667,0.0126,0.0139,0.0858,0.0858,0.0858,0.0541,0.0541,0.0541
66,0.06574,0.0248,0.131,0.05845,0.0526,0.0643,0.0565,0.0565,0.0565,0.006966667,0.0063,0.0082,0.0885,0.0885,0.0885,0.0608,0.0608,0.0608
70,0.07462,0.03,0.1399,0.0586,0.058,0.0592,0.0654,0.0654,0.0654,0.009733333,0.0094,0.0099,0.0846,0.0846,0.0846,0.0601,0.0601,0.0601
74,0.08168,0.0388,0.1437,0.0706,0.0648,0.0764,0.0648,0.0648,0.0648,0.0114,0.0106,0.0128,0.0955,0.0955,0.0955,0.0738,0.0738,0.0738
78,0.08066,0.0357,0.1391,0.07285,0.0704,0.0753,0.0701,0.0701,0.0701,0.011233333,0.0109,0.0117,0.1009,0.1009,0.1009,0.0756,0.0756,0.0756
82,0.08806,0.0425,0.1458,0.0773,0.0703,0.0843,0.0833,0.0833,0.0833,0.0094,0.0086,0.0108,0.1176,0.1176,0.1176,0.0829,0.0829,0.0829
86,0.0852,0.0336,0.1537,0.0711,0.0662,0.076,0.0781,0.0781,0.0781,0.011266667,0.0112,0.0113,0.1105,0.1105,0.1105,0.085,0.085,0.085
